winner_binary,season,team1,team2,runs_difference,wickets_difference,boundary_difference,team1_wickets,team2_wickets,team1_dot_ball_percentage,team2_dot_ball_percentage,toss_won_by_team1,toss_decision_bat,match_id
1,2015/16,Australia,India,-22,0,-6,1,1,59.67741935483871,57.14285714285714,1,0,895811
1,2015/16,Australia,India,-21,-1,-2,0,1,62.295081967213115,47.540983606557376,1,1,895813
0,2015/16,Australia,India,-7,1,-2,1,0,52.459016393442624,46.666666666666664,0,0,895815
0,2015/16,England,Pakistan,5,0,1,3,3,71.66666666666667,71.42857142857143,1,1,902641
1,2015/16,England,Pakistan,32,-2,7,0,2,60.65573770491803,75.40983606557377,1,1,902643
1,2015/16,England,Pakistan,2,-2,0,0,2,58.06451612903226,59.01639344262295,0,1,902645
1,2015/16,England,Pakistan,-20,-2,-7,0,2,48.38709677419355,51.61290322580645,1,1,902647
0,2015/16,India,South Africa,-11,0,-4,1,1,60.65573770491803,59.375,0,1,903593
1,2015/16,India,South Africa,-12,-1,-1,1,2,69.35483870967742,56.666666666666664,1,1,903595
0,2015/16,India,South Africa,19,0,1,0,0,56.451612903225815,70.0,0,1,903597
1,2015/16,India,South Africa,-20,1,-4,2,1,51.61290322580645,54.54545454545454,1,1,903599
0,2015/16,India,South Africa,22,-1,6,1,2,52.459016393442624,62.295081967213115,0,1,903601
0,2015/16,United Arab Emirates,Hong Kong,-18,-1,-3,0,1,56.451612903225815,48.4375,0,1,911049
0,2016,Ireland,Sri Lanka,6,-2,1,0,2,63.33333333333333,70.96774193548387,1,0,913621
1,2016,England,Sri Lanka,-6,2,0,2,0,58.06451612903226,48.4375,0,1,913625
1,2016,England,Sri Lanka,3,0,2,1,1,50.81967213114754,57.377049180327866,1,0,913629
1,2016,England,Sri Lanka,19,-1,2,0,1,50.0,61.66666666666667,0,0,913631
0,2016,Ireland,Pakistan,15,-3,5,1,4,66.66666666666666,68.75,1,0,913649
1,2016,England,Pakistan,-21,0,0,1,1,67.21311475409836,48.38709677419355,0,1,913653
1,2016,England,Pakistan,7,1,2,3,2,69.35483870967742,65.0,0,1,913655
1,2016,England,Pakistan,-19,-2,-7,1,3,54.09836065573771,50.81967213114754,1,1,913657
1,2016,England,Pakistan,-12,-1,-7,1,2,64.51612903225806,74.19354838709677,0,1,913659
0,2016,England,Pakistan,5,1,1,2,1,55.73770491803278,54.83870967741935,0,0,913661
1,2015/16,New Zealand,Sri Lanka,-79,5,-17,5,0,70.3125,40.0,0,1,914207
1,2015/16,New Zealand,Sri Lanka,-78,3,-15,3,0,71.66666666666667,23.214285714285715,0,1,914209
0,2015/16,New Zealand,Sri Lanka,-36,1,-6,1,0,62.295081967213115,46.875,1,1,914211
1,2015/16,New Zealand,Sri Lanka,22,-2,5,1,3,62.295081967213115,69.35483870967742,0,0,914215
1,2015/16,New Zealand,Pakistan,12,1,4,2,1,65.07936507936508,69.84126984126983,0,0,914227
1,2015/16,New Zealand,Australia,24,-6,6,0,6,63.33333333333333,68.25396825396825,0,0,914231
0,2015/16,New Zealand,Australia,-20,1,-3,1,0,65.57377049180327,44.44444444444444,1,1,914233
1,2015/16,New Zealand,Australia,17,0,5,1,1,55.00000000000001,48.333333333333336,0,0,914235
1,2015/16,New Zealand,Pakistan,1,1,0,2,1,58.730158730158735,69.84126984126983,0,1,914265
1,2015/16,Sri Lanka,West Indies,-60,2,-10,3,1,76.19047619047619,38.70967741935484,1,0,915777
1,2015/16,Sri Lanka,West Indies,-6,1,-1,2,1,53.2258064516129,47.540983606557376,0,1,915779
1,2015/16,Sri Lanka,West Indies,-17,3,-2,4,1,64.61538461538461,46.15384615384615,1,0,915781
0,2015/16,Zimbabwe,Pakistan,7,2,3,3,1,73.77049180327869,73.01587301587301,1,0,919607
1,2015/16,Zimbabwe,Pakistan,9,-2,-1,1,3,67.1875,79.03225806451613,0,0,919609
0,2015/16,Zimbabwe,Pakistan,13,0,1,0,0,60.65573770491803,67.74193548387096,0,0,919611
1,2015/16,Zimbabwe,Ireland,-12,0,-2,2,2,72.58064516129032,63.33333333333333,1,0,919613
1,2015/16,Zimbabwe,Ireland,-15,-1,-1,1,2,73.77049180327869,57.377049180327866,1,0,919615
